Store,Dept,order,aic,cv_wmae_mean,cv_wmae_std,holdout_wmae,holdout_mae,holdout_rmse,n_missing_weeks
16,55,"(2, 1, 2)",1959.5267453334855,4279.345149144268,2991.221252527012,2872.5566241226747,2979.627737858716,3240.3045146930326,0
30,1,"(0, 1, 2)",1840.7826188138376,1924.181940907345,48.53397174046797,1394.0903824737704,1529.3827686222364,1784.889547853758,0
33,79,"(0, 1, 2)",1649.6205610581294,730.5040857485407,46.75517045601553,1120.7136089013381,1133.0890333070056,1354.3768755637275,0
2,17,"(2, 1, 2)",1901.5801598725554,2863.8087614566307,2766.362769035368,2235.0050501711667,2186.8794844332683,2450.3761682875183,0
16,14,"(1, 0, 2)",1886.805581879411,2453.6096987911606,2247.4024589063406,2030.4538858396656,2061.815110563699,2287.726503142192,0
24,21,"(2, 1, 2)",1702.21356393491,764.5772374853068,385.99032434869275,644.4976326762793,716.6352455884992,960.8548567440897,0
11,16,"(1, 1, 2)",1914.373493044533,2531.867335497287,881.140325111904,11557.69215814361,12698.449670548129,15020.084219761975,0
17,67,"(0, 1, 2)",1833.8003848201097,1960.1464284722463,512.7311064005004,2064.6150484687646,1852.3565968726139,3023.6284251524994,0
4,20,"(0, 1, 2)",1719.5868691220717,990.2846413031397,226.45963325836675,1185.2491646865883,1187.804854366191,1433.026836788538,0
5,8,"(0, 1, 2)",1636.9384436849755,639.2002499766963,144.05609396834967,979.4119226091849,944.7887751771187,1083.7677510094761,0
35,71,"(0, 1, 2)",1908.7384634739512,3830.871774010399,2325.2628767181664,1880.8832693006714,1594.8152219777326,2212.0211974469,0
11,87,"(0, 1, 2)",1787.3117575488134,1237.4702323178733,202.4773986912566,2172.142151882853,2046.6879734664694,2482.462331617769,0
15,17,"(0, 1, 2)",1848.9886579260992,2271.590969758296,438.50515970130226,1650.62393211409,1572.420636137493,1840.758181683063,0
4,33,"(2, 1, 2)",1962.0877190270107,3537.8202841270304,1636.945254395951,2605.22663096271,2439.245028370824,3563.7180206173216,0
17,17,"(2, 1, 2)",1854.279104999816,2805.697861858634,733.924662116819,2337.898473773969,1919.7860883118842,2378.9781117911007,0
18,71,"(1, 1, 2)",1819.9174716862049,1605.9734380577895,866.9895159693126,1979.6409782420747,1554.7508098772635,2292.2667703753727,0
25,55,"(2, 1, 2)",2000.7985162751604,5695.119395053662,3294.914655742246,4265.942272153329,4475.561643025759,4648.436465623533,0
21,71,"(1, 1, 2)",1744.5416113887973,1439.9502387736347,298.6180036833993,1174.0269284584008,1144.1891195294008,1421.6714820526795,0
22,56,"(1, 1, 2)",1878.065595877664,2948.4450372904466,2879.8799611279956,4551.82182012009,5037.6686057350535,7732.7326400808815,2
26,79,"(2, 0, 2)",1701.6262201110587,773.2307251776007,155.1144797715748,1257.4540830350415,1072.4189022847604,1375.1400322231991,0
13,25,"(2, 1, 2)",1930.9523030796827,2453.0109594337578,1379.4858671608301,2140.999080249042,2122.453229401736,3023.1935389285245,0
4,44,"(2, 1, 2)",1686.8224949826447,1063.3895854749426,420.5878759192565,1006.8996850913874,1012.8422217746221,1193.6367148670545,0
7,32,"(1, 1, 2)",1882.3278981619485,2494.109951398685,1507.1464132022102,1682.267089650247,1745.608017610826,1961.0993444726496,0
7,46,"(1, 1, 2)",1831.881722410795,3661.485233938833,593.5338538961064,2488.4333186644453,2812.422869059842,3595.8680414998375,0
24,22,"(2, 1, 2)",1905.8905419137493,2612.745655328589,1779.940054186032,1840.147201974361,1791.936711560934,2128.7685466849034,0
23,24,"(2, 1, 2)",1943.860441438371,3529.7480712535216,2126.976742344898,2069.4206706719497,2269.7832616801034,3045.2140429820925,0
40,21,"(2, 1, 2)",1767.2308582731125,1099.1430689151475,660.0404467828043,716.7593898539661,814.7875028599267,951.6657431833519,0
3,4,"(0, 1, 2)",1616.348823131392,658.9104544047492,232.49543052982654,666.0633867952771,645.1639910126903,792.5423114599736,0
34,12,"(0, 1, 2)",1620.659948697654,810.481698691406,376.6210805655032,1059.6025727340698,1110.7866902179815,1202.2815960229696,0
24,67,"(0, 1, 2)",1927.4182575702444,2947.4757030177498,412.3412311265935,2942.5121444623496,2859.2941228135996,4296.838433178054,0
12,30,"(0, 1, 2)",1583.0440200416836,730.1694256072839,360.9251385899463,1774.4498594982358,1736.473296267823,1993.6877106643003,0
8,56,"(1, 1, 2)",1795.6423452524205,4303.117528515656,4471.44791857647,3928.9120341550783,4635.6242156771095,7316.694188457933,0
45,5,"(2, 1, 2)",2151.352649783169,11362.751509040298,5419.783755481569,6854.956505883674,7201.859004411367,7917.78456863377,0
36,91,"(2, 1, 2)",1656.5215993507575,1183.241036597016,315.8779798103551,774.3188844643636,753.3220980550981,954.5883461066045,0
45,14,"(2, 1, 2)",2014.456296864366,5197.618926201306,4205.796411172842,2560.5964295220997,2622.9867473577083,2830.1285339119645,0
16,7,"(2, 1, 2)",2056.050709610152,4775.975372403117,2461.49329832632,2568.081848785803,2579.289888880386,2977.6340674484704,0
20,29,"(2, 1, 2)",1898.5609495542744,1925.194678266778,1245.2836749069597,1780.591805162247,1536.9243383275618,1881.4933858385634,0
28,14,"(0, 1, 2)",2011.750116186553,4794.794271879123,4128.102067307202,2383.485508650302,2372.2404847836974,2664.8359290354806,0
32,3,"(2, 1, 2)",2010.9684880706814,4835.772685986804,2080.6247922154926,6333.979666957119,7470.413021656249,12703.457965434109,0
33,91,"(2, 1, 2)",1660.7674512670105,857.8604569345144,286.6891391775609,1242.3546793955788,1206.8556850334978,1463.92005435381,0
15,46,"(1, 1, 2)",1859.4419557541491,1335.677769431205,741.2879628490341,1273.9913041458651,1283.3031060890255,1575.0147637226783,0
21,14,"(2, 1, 2)",2010.4021036658398,5308.927376791291,3011.4910206351824,3683.115800516171,3669.0315893750485,3952.5137998518294,0
41,98,"(0, 1, 2)",1748.0983927151678,984.8053204457484,643.0410731764745,799.8583346078079,830.1728647837685,992.8124281483837,0
13,96,"(0, 1, 2)",1699.4589656594273,1284.0947400068878,536.3696832563362,1942.630930235153,1830.4875364669022,2241.103864004393,0
34,3,"(1, 1, 2)",1931.6445855218835,2878.561636554452,1078.749378508169,3788.6594203402415,4426.4399580872605,7579.626995301156,0
4,6,"(0, 1, 2)",2040.2646552812218,4755.324165370526,3217.501608295727,2720.412080010798,2482.781757290869,2791.8171429663857,0
19,96,"(2, 1, 2)",1866.8933710643562,3252.58318593866,1432.3367823017682,5146.045687441642,5048.845467465701,6717.525268866108,0
